"id_depto,""id_muni"",""descripcion"",""usuario_ultima_mod"",""fh_ultima_mod"",""id_depto_muni"",""ip_ultima_mod"",""fh_ingreso"",""usuario_ingreso"",""ip_ingreso"",""id_codigo_ine"""
"1,1,""Guatemala"",""emota"",""2023-04-22 16:25:46.588028"",1,""172.21.11"",""2015-05-28 20:54:45.916305-06"",""plopez"",""172.21"",101"
"1,2,""Santa Catarina Pinula"",""plopez"",""2015-05-28 20:54:45.916305"",2,""172.21"",""2015-05-28 20:54:45.916305-06"",""plopez"",""172.21"",102"
"1,3,""San José Pinula"",""plopez"",""2015-05-28 20:54:45.916305"",3,""172.21"",""2015-05-28 20:54:45.916305-06"",""plopez"",""172.21"",103"
"1,4,""San José Del Golfo"",""plopez"",""2015-05-28 20:54:45.916305"",4,""172.21"",""2015-05-28 20:54:45.916305-06"",""plopez"",""172.21"",104"
